,ST,City  - Station Code,City,Code
161,MD,ANDREWS AFB-TADW,ANDREWS AFB,TADW
162,GA,ATLANTA-TATL,ATLANTA,TATL
163,TN,NASHVILLE-TBNA,NASHVILLE,TBNA
164,MA,BOSTON-TBOS,BOSTON,TBOS
165,MD,BALTIMORE WASHINGTON-TBWI,BALTIMORE WASHINGTON,TBWI
166,NC,CHARLOTTE-TCLT,CHARLOTTE,TCLT
167,OH,COLUMBUS-TCMH,COLUMBUS,TCMH
168,KY,COVINGTON-TCVG,COVINGTON,TCVG
169,TX,DALLAS LOVE FIELD-TDAL,DALLAS LOVE FIELD,TDAL
170,OH,DAYTON-TDAY,DAYTON,TDAY
171,MD,WASHINGTON NATIONAL-TDCA,WASHINGTON NATIONAL,TDCA
172,CO,DENVER-TDEN,DENVER,TDEN
173,TX,DALLAS FT WORTH-TDFW,DALLAS FT WORTH,TDFW
174,MI,DETROIT-TDTW,DETROIT,TDTW
175,NJ,NEWARK-TEWR,NEWARK,TEWR
176,FL,FT LAUDERDALE-TFLL,FT LAUDERDALE,TFLL
177,TX,HOUSTON HOBBY-THOU,HOUSTON HOBBY,THOU
178,VA,WASHINGTON DULLES-TIAD,WASHINGTON DULLES,TIAD
179,TX,HOUSTON INTERNATIONAL-TIAH,HOUSTON INTERNATIONAL,TIAH
180,KS,WICHITA-TICH,WICHITA,TICH
181,IN,INDIANAPOLIS-TIDS,INDIANAPOLIS,TIDS
182,PR,RAFAEL HERNANDEZ AIRPORT-TJBQ,RAFAEL HERNANDEZ AIRPORT,TJBQ
183,NY,NEW YORK CITY JFK-TJFK,NEW YORK CITY JFK,TJFK
184,PR,JOSE APONTE DE LA TORRE AIRPOR-TJRV,JOSE APONTE DE LA TORRE AIRPOR,TJRV
185,PR,SAN JUAN-TJUA,SAN JUAN,TJUA
186,NV,LAS VEGAS-TLAS,LAS VEGAS,TLAS
187,OH,CLEVELAND-TLVE,CLEVELAND,TLVE
188,MO,KANSAS CITY-TMCI,KANSAS CITY,TMCI
189,FL,ORLANDO INTERNATIONAL-TMCO,ORLANDO INTERNATIONAL,TMCO
190,IL,CHICAGO MIDWAY-TMDW,CHICAGO MIDWAY,TMDW
191,MS,MEMPHIS-TMEM,MEMPHIS,TMEM
192,FL,MIAMI-TMIA,MIAMI,TMIA
